pair,cond,trial,env,env_code,num_windows,window_start,window_end,headVectP1,headVectP2
ASLH,standing,T009,NoMusicParty,,0,0,1024,1.33802497,1.051302622
ASLH,standing,T009,NoMusicParty,,1,512,1536,1.221427518,1.011331372
ASLH,standing,T009,NoMusicParty,,2,1024,2048,1.038099853,1.04107427
ASLH,standing,T009,NoMusicParty,,3,1536,2560,1.062101061,0.852287204
ASLH,standing,T009,NoMusicParty,,4,2048,3072,1.170234696,0.848359654
ASLH,standing,T009,NoMusicParty,,5,2560,3584,1.238666928,0.904965191
ASLH,standing,T009,NoMusicParty,,6,3072,4096,1.18787274,0.944953073
ASLH,standing,T009,NoMusicParty,,7,3584,4608,1.106000784,1.079852454
ASLH,standing,T009,NoMusicParty,,8,4096,5120,1.044115361,1.04715183
ASLH,sitting,T012,MusicParty,,0,0,1024,1.109797932,1.323976989
ASLH,sitting,T012,MusicParty,,1,512,1536,1.143378538,1.305185011
ASLH,sitting,T012,MusicParty,,2,1024,2048,1.18540492,1.234586733
ASLH,sitting,T012,MusicParty,,3,1536,2560,1.293786004,1.173932374
ASLH,sitting,T012,MusicParty,,4,2048,3072,1.311771842,1.146092533
ASLH,sitting,T012,MusicParty,,5,2560,3584,1.150555999,1.193223293
ASLH,sitting,T012,MusicParty,,6,3072,4096,1.244460593,1.1926446
ASLH,sitting,T012,MusicParty,,7,3584,4608,1.071844059,1.199217263
ASLH,sitting,T012,MusicParty,,8,4096,5120,1.291901772,1.179470653
ASLH,sitting,T013,Living,,0,0,1024,1.054418483,1.342161567
ASLH,sitting,T013,Living,,1,512,1536,1.21139409,1.376653335
ASLH,sitting,T013,Living,,2,1024,2048,1.216945996,1.363931344
ASLH,sitting,T013,Living,,3,1536,2560,1.26775405,1.342852322
ASLH,sitting,T013,Living,,4,2048,3072,1.164511119,1.324435167
ASLH,sitting,T013,Living,,5,2560,3584,0.993259902,1.40255389
ASLH,sitting,T013,Living,,6,3072,4096,1.258976313,1.271755144
ASLH,sitting,T013,Living,,7,3584,4608,1.394978475,1.236996813
ASLH,sitting,T013,Living,,8,4096,5120,1.345502036,1.2512189
ASLH,sitting,T014,Cafe,,0,0,1024,0.869094847,1.192474355
ASLH,sitting,T014,Cafe,,1,512,1536,0.981613594,1.044632355
ASLH,sitting,T014,Cafe,,2,1024,2048,0.932139674,1.196051136
ASLH,sitting,T014,Cafe,,3,1536,2560,0.822077607,1.275382551
