pair	cond	env	num_windows	alpha_p1	alpha_p2
2	0	Cafe	8	1.259565607	0.982160271
2	0	Living	0	0.983286008	0.972358658
2	0	Living	1	1.034048113	1.064986937
2	0	Living	2	1.059987241	1.085509885
2	0	Living	3	1.093792258	1.189614439
2	0	Living	4	1.217174321	1.153449633
2	0	Living	5	1.16758354	1.082420737
2	0	Living	6	1.083456536	1.305186607
2	0	Living	7	1.134771114	1.334078881
2	0	Living	8	1.057355999	1.238798453
2	0	NoMusicParty	0	1.073695654	1.270629134
2	0	NoMusicParty	1	1.071477881	1.108800357
2	0	NoMusicParty	2	1.14200779	1.077999757
2	0	NoMusicParty	3	1.206362845	1.174547627
2	0	NoMusicParty	4	1.189577408	1.254310465
2	0	NoMusicParty	5	1.149276044	1.141178992
2	0	NoMusicParty	6	1.025539187	1.159372131
2	0	NoMusicParty	7	1.030105412	1.126236614
2	0	NoMusicParty	8	1.169383309	1.145627432
2	1	Cafe	0	0.932541611	0.897658665
2	1	Cafe	1	1.206053185	1.153025358
2	1	Cafe	2	1.331331278	1.185953822
2	1	Cafe	3	0.986495473	1.057624573
2	1	Cafe	4	1.012528115	1.052181372
2	1	Cafe	5	1.058983983	1.067860291
2	1	Cafe	6	0.94003554	1.134906201
2	1	Cafe	7	0.946002901	0.942503057
2	1	Cafe	8	1.056368969	0.890138972
2	1	Library	0	0.995973224	1.306945589
2	1	Library	1	0.87106205	1.152127873
2	1	Library	2	0.811844255	0.871057452
2	1	Library	3	0.829273457	0.917362487
2	1	Library	4	1.028698012	1.276224076
2	1	Library	5	1.007059587	1.218207107
2	1	Library	6	0.84224599	0.919502384
2	1	Library	7	0.884046242	1.05044344
2	1	Library	8	0.96706511	1.070474906
2	1	Living	0	1.043875692	0.937422665
2	1	Living	1	1.191228485	1.132872306
2	1	Living	2	1.117100579	1.136253605
2	1	Living	3	0.963686902	1.187733742
2	1	Living	4	0.916795139	1.165833332
2	1	Living	5	0.915756226	0.928268371
2	1	Living	6	0.902830582	1.104919625
2	1	Living	7	0.955460091	1.248236841
2	1	Living	8	1.065641723	1.231230383
2	1	NoMusicParty	0	1.420253569	1.244007487
2	1	NoMusicParty	1	0.990210166	0.979507102
2	1	NoMusicParty	2	0.954929397	1.048573408
2	1	NoMusicParty	3	0.860269229	0.968165866
2	1	NoMusicParty	4	0.991692023	0.978835062
2	1	NoMusicParty	5	1.020274623	0.937383474
2	1	NoMusicParty	6	1.090127765	0.92165123
2	1	NoMusicParty	7	1.21756784	0.938534289
2	1	NoMusicParty	8	1.162212773	0.841100452
2	1	MusicParty	0	1.382425661	1.348405492
2	1	MusicParty	1	1.091877487	0.975246085
2	1	MusicParty	2	0.972237282	0.986177777
2	1	MusicParty	3	1.00866449	1.019088391
2	1	MusicParty	4	1.0802565	1.174318399
2	1	MusicParty	5	1.079355668	1.064362383
2	1	MusicParty	6	1.046106103	1.096293812
2	1	MusicParty	7	1.141162447	1.109390777
2	1	MusicParty	8	1.295692791	1.057238818
2	1	Train	0	1.379680935	1.263257931
2	1	Train	1	1.02660349	0.931837811
2	1	Train	2	1.218077114	1.002263638
2	1	Train	3	1.128151568	1.100708738
2	1	Train	4	1.055128311	1.215857383
2	1	Train	5	1.06657641	1.075427932
2	1	Train	6	0.827884713	0.947112066
2	1	Train	7	0.868733144	0.939532491
2	1	Train	8	0.877917897	0.826144102
2	1	FoodCourt	0	1.33792639	1.325624317
2	1	FoodCourt	1	1.131008881	0.894010236
2	1	FoodCourt	2	0.988842875	0.831565848
2	1	FoodCourt	3	0.814201213	1.077957396
2	1	FoodCourt	4	0.955128401	0.977319707
2	1	FoodCourt	5	1.005199438	0.88998409
2	1	FoodCourt	6	0.920291733	0.900522337
2	1	FoodCourt	7	0.978409281	0.972405157
2	1	FoodCourt	8	0.998927668	0.838194752
3	1	FoodCourt	0	1.322859883	0.872408136
3	1	FoodCourt	1	1.263928374	0.930846562
3	1	FoodCourt	2	1.330419736	0.819432061
3	1	FoodCourt	3	1.25836853	0.864436013
3	1	FoodCourt	4	1.270717068	0.967603835
3	1	FoodCourt	5	1.240404667	1.151005438
3	1	FoodCourt	6	1.334786802	1.20410937
3	1	FoodCourt	7	1.35160166	1.096286984
3	1	FoodCourt	8	1.194446748	1.020375966
3	1	Train	0	1.314679237	0.861032007
3	1	Train	1	1.094494853	0.97033498
3	1	Train	2	1.096436682	1.055247331
3	1	Train	3	1.180202707	1.033857836
3	1	Train	4	1.185969288	1.014725822
3	1	Train	5	1.28343037	1.064684625
3	1	Train	6	1.155544732	1.008842028
3	1	Train	7	1.111405394	1.038398454
3	1	Train	8	1.302462526	0.945622957
3	1	MusicParty	0	1.168090163	1.103622018
3	1	MusicParty	1	1.185309614	1.37950141
3	1	MusicParty	2	1.132118907	1.28096655
3	1	MusicParty	3	1.129365375	1.245412759
3	1	MusicParty	4	1.087647259	1.184424496
3	1	MusicParty	5	1.13781577	1.123978996
3	1	MusicParty	6	1.157732774	1.228341193
3	1	MusicParty	7	1.104014715	1.259923977
3	1	MusicParty	8	1.103931934	1.263102675
3	1	Library	0	1.232365494	1.013335812
3	1	Library	1	1.196559296	1.0669209
3	1	Library	2	1.169161483	0.966978046
3	1	Library	3	1.163019277	0.932815648
3	1	Library	4	1.113421549	1.01273171
3	1	Library	5	1.25169263	0.991009077
3	1	Library	6	1.332660208	0.983188705
3	1	Library	7	1.208824097	0.996944596
3	1	Library	8	1.272252248	1.111017922
3	1	Living	0	1.206494394	0.841749063
3	1	Living	1	1.228661253	1.052167432
3	1	Living	2	0.913768915	1.081184506
3	1	Living	3	1.136879828	1.12301942
3	1	Living	4	1.232538537	1.114436462
3	1	Living	5	1.245677905	0.938997425
3	1	Living	6	1.180870585	1.077911362
3	1	Living	7	1.056797661	1.034076625
3	1	Living	8	1.258642664	1.016298688
3	1	Cafe	0	1.10101817	1.000375246
3	1	Cafe	1	1.00043271	1.008931664
3	1	Cafe	2	0.857528465	0.987212717
3	1	Cafe	3	0.886149028	1.036561358
3	1	Cafe	4	0.896847662	1.023079831
3	1	Cafe	5	0.92681189	1.01954887
3	1	Cafe	6	0.983001978	0.960262597
3	1	Cafe	7	0.98094131	1.039911278
3	1	Cafe	8	1.082669958	0.942856694
3	1	NoMusicParty	0	1.33802497	1.051302622
3	1	NoMusicParty	1	1.221427518	1.011331372
3	1	NoMusicParty	2	1.038099853	1.04107427
3	1	NoMusicParty	3	1.062101061	0.852287204
3	1	NoMusicParty	4	1.170234696	0.848359654
3	1	NoMusicParty	5	1.238666928	0.904965191
3	1	NoMusicParty	6	1.18787274	0.944953073
3	1	NoMusicParty	7	1.106000784	1.079852454
3	1	NoMusicParty	8	1.044115361	1.04715183
3	0	MusicParty	0	1.109797932	1.323976989
3	0	MusicParty	1	1.143378538	1.305185011
3	0	MusicParty	2	1.18540492	1.234586733
3	0	MusicParty	3	1.293786004	1.173932374
3	0	MusicParty	4	1.311771842	1.146092533
3	0	MusicParty	5	1.150555999	1.193223293
3	0	MusicParty	6	1.244460593	1.1926446
3	0	MusicParty	7	1.071844059	1.199217263
3	0	MusicParty	8	1.291901772	1.179470653
3	0	Living	0	1.054418483	1.342161567
3	0	Living	1	1.21139409	1.376653335
3	0	Living	2	1.216945996	1.363931344
3	0	Living	3	1.26775405	1.342852322
3	0	Living	4	1.164511119	1.324435167
3	0	Living	5	0.993259902	1.40255389
3	0	Living	6	1.258976313	1.271755144
3	0	Living	7	1.394978475	1.236996813
3	0	Living	8	1.345502036	1.2512189
3	0	Cafe	0	0.869094847	1.192474355
3	0	Cafe	1	0.981613594	1.044632355
3	0	Cafe	2	0.932139674	1.196051136
3	0	Cafe	3	0.822077607	1.275382551
3	0	Cafe	4	0.697280511	1.208636871
3	0	Cafe	5	0.770690573	1.222817065
3	0	Cafe	6	1.335591978	1.329174265
3	0	Cafe	7	1.332724357	1.351426905
3	0	Cafe	8	1.229057812	1.070343441
3	0	FoodCourt	0	1.055656501	1.498178745
3	0	FoodCourt	1	1.074805228	1.331604642
3	0	FoodCourt	2	1.027771369	1.223737988
3	0	FoodCourt	3	1.115230744	1.286264004
3	0	FoodCourt	4	1.180121104	1.264606233
3	0	FoodCourt	5	1.219584248	1.339267743
3	0	FoodCourt	6	1.239151797	1.341464179
3	0	FoodCourt	7	1.069682184	1.240060124
3	0	FoodCourt	8	1.13120898	1.237813742
3	0	NoMusicParty	0	1.132230011	1.154194222
3	0	NoMusicParty	1	1.152762409	1.289923064
3	0	NoMusicParty	2	1.213144507	1.461774848
3	0	NoMusicParty	3	1.208858792	1.42815914
3	0	NoMusicParty	4	1.158486034	1.304258036
3	0	NoMusicParty	5	1.177628745	1.187823795
3	0	NoMusicParty	6	1.32873571	1.355035417
3	0	NoMusicParty	7	1.31072125	1.469776917
3	0	NoMusicParty	8	1.178105526	1.42817481
3	0	Library	0	0.825249644	1.144859813
3	0	Library	1	0.905719072	1.333637464
3	0	Library	2	1.043279821	1.299760133
3	0	Library	3	1.084409767	1.389132583
3	0	Library	4	1.078619113	1.359268201
3	0	Library	5	1.16306757	1.32533196
3	0	Library	6	1.176068268	1.266130107
3	0	Library	7	1.060292638	1.205931545
3	0	Library	8	1.169684021	1.230753404
3	0	Train	0	1.008567361	1.43443364
3	0	Train	1	0.86755539	1.220823835
3	0	Train	2	0.940749673	1.046521621
3	0	Train	3	0.985786684	1.072129802
3	0	Train	4	0.945132669	1.229808162
3	0	Train	5	0.88533276	1.306289838
3	0	Train	6	1.014020099	1.341305604
3	0	Train	7	1.170791496	1.413233746
3	0	Train	8	1.191596724	1.300169039
4	0	Train	0	1.134167984	1.187039727
4	0	Train	1	1.276320271	0.928372577
4	0	Train	2	1.228200602	1.044618308
4	0	Train	3	1.194800057	0.811121119
4	0	Train	4	1.086866671	0.816821592
4	0	Train	5	1.098296079	0.896380488
4	0	Train	6	1.112867805	1.065903466
4	0	Train	7	1.217341599	0.986893663
4	0	Train	8	1.178475964	0.899296717
4	0	Library	0	1.36634735	0.953432985
4	0	Library	1	1.340049131	0.865918908
4	0	Library	2	1.185656065	0.869607473
4	0	Library	3	0.748331815	0.833319185
4	0	Library	4	0.786597391	0.847091099
4	0	Library	5	1.24381854	0.875409245
4	0	Library	6	1.222070124	0.725827027
4	0	Library	7	1.20287828	0.904323013
4	0	Library	8	1.314506065	1.137311527
4	0	NoMusicParty	0	1.177719811	0.95587803
4	0	NoMusicParty	1	1.211885918	0.921212331
4	0	NoMusicParty	2	1.289619129	1.147940833
4	0	NoMusicParty	3	1.417343566	1.271352597
4	0	NoMusicParty	4	1.137134253	1.330097765
4	0	NoMusicParty	5	0.964669971	0.851774296
4	0	NoMusicParty	6	1.22031582	0.824143582
4	0	NoMusicParty	7	1.302749704	0.911237445
4	0	NoMusicParty	8	1.234520728	0.828373621
4	0	Living	0	1.174282927	0.802007415
4	0	Living	1	1.296225139	0.899039226
4	0	Living	2	1.094336684	0.839148916
4	0	Living	3	1.117404856	0.902582842
4	0	Living	4	1.161771088	1.192598029
4	0	Living	5	1.348755496	1.240622269
4	0	Living	6	1.444292188	1.231100939
4	0	Living	7	1.109431556	0.904231105
4	0	Living	8	1.14529788	1.139610144
4	0	MusicParty	0	1.137002661	1.034041499
